"13923"^*"13106"^*"TZ2019030027"^*""^*""^*""^*""^*""^*""^*"I"^*""^*""^*""^*""^*""^*""^*""^*"100000000"^*""^*""^*"1"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*
"13924"^*"13107"^*"TZ2019030027"^*""^*""^*"20190307104242"^*""^*""^*""^*"I"^*""^*"2019-03-07 12:03:00"^*""^*""^*""^*""^*""^*"100000000"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*
"13921"^*"13104"^*"TZ2019030026"^*""^*""^*""^*""^*""^*""^*"I"^*""^*""^*""^*""^*""^*""^*""^*"100000000"^*""^*""^*"1"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*
"13922"^*"13105"^*"TZ2019030026"^*""^*""^*"20190307104241"^*""^*""^*""^*"I"^*""^*"2019-03-14 12:03:00"^*""^*""^*""^*""^*""^*"100000000"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*
"13925"^*"13108"^*"TZ2019030027"^*""^*""^*""^*""^*""^*""^*"I"^*"1000000"^*""^*"2019-03-07 12:03:00"^*""^*""^*""^*""^*"1000000"^*""^*""^*""^*""^*""^*""^*"1"^*""^*""^*""^*""^*"1856"^*
