"16162"^*"2017年（保证）0002号"^*"002"^*"01"^*"d2538fd86897982c0168e60ac28b0043"^*"1441000"^*"1441000"^*""^*""^*""^*"01"^*"001140783"^*"2019-02-20 14:19:50"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"02"^*""^*"840"^*""^*
"16163"^*"2007灵武（保）字0009号"^*"003"^*"01"^*"d2538fd86897982c0168e60ac28b0043"^*"130000000"^*"130000000"^*""^*""^*""^*"01"^*"001140783"^*"2019-02-20 16:03:35"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"02"^*""^*"156"^*""^*
"16164"^*"2017年灵武（保）字0013号"^*"004"^*"01"^*"d2538fd86897982c0168e60ac28b0043"^*"180000000"^*"180000000"^*""^*""^*""^*"01"^*"001140783"^*"2019-02-20 16:17:34"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"02"^*""^*"156"^*""^*
"16165"^*"0"^*"005"^*"02"^*"d2538fd86897982c0168e60ac28b0043"^*"270000000"^*"270000000"^*""^*""^*""^*"01"^*"001140783"^*"2019-02-20 16:51:14"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"02"^*""^*"156"^*""^*
"16166"^*"0"^*"006"^*"02"^*"d2538fd86897982c0168e60ac28b0043"^*"270000000"^*"270000000"^*""^*""^*""^*"01"^*"001140783"^*"2019-02-20 16:51:14"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"02"^*""^*"156"^*""^*
"16167"^*"2014年银团（保）字001号"^*"007"^*"01"^*"d2538fd86897982c0168e60ac28b0043"^*"470000000"^*"180000000"^*""^*""^*""^*"01"^*"001140783"^*"2019-02-20 17:13:45"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"02"^*""^*"156"^*""^*
"16161"^*"2017年（保证）0001号"^*"001"^*"01"^*"d2538fd86897982c0168e60ac28b0043"^*"278600000"^*"278600000"^*""^*""^*""^*"01"^*"001140783"^*"2019-02-13 17:22:26"^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*""^*"02"^*""^*"156"^*""^*
