"   "^*"L_IJOURID"^*"L_BATCHID"^*"D_PREOCCURDATE"^*"D_OCCURDATE"^*"C_PROJECTCODE"^*"C_SUBPROJECTCODE"^*"C_INVESTCODE"^*"C_CONTRACTID"^*"C_ASSETID"^*"C_FUNDACID"^*"C_RIVALID"^*"C_ACCOID"^*"C_CYKIND"^*"C_BUSIFLAG"^*"C_INVESTTYPE"^*"C_INVESTWAY"^*"L_FUNDDIR"^*"L_STOCKDIR"^*"C_REPAYWAY"^*"C_EXTFLAG"^*"F_PREOCCUR_BALANCE"^*"F_PRINCIPAL"^*"D_BEGINDATE"^*"D_ENDDATE"^*"F_PROFIT"^*"F_DEDUCTION"^*"F_OCCUR_BALANCE"^*"C_PAYWAY"^*"C_ISINVALID"^*"C_REMARK"^*"C_CHECKFLAG"^*"C_CREATEWAY"^*"D_CREATETIME"^*"C_CREATEUSER"^*"D_UPDATETIME"^*"C_UPDATEUSER"^*"L_STCOKAMOUNT"^*"F_INVESTRATO"^*"INSTANCEID"^*"C_DELAYDAYS"^*"C_PAYMENACCOUNT"^*"C_DEPOSITTYPE"^*"C_DEPOSITTRANSFERTYPE"^*"PROCESS_INSTANCEID"^*"L_STCOKAMOUNT"^*"C_POSFLAG"^*"D_REALINVESTDATE"^*"F_EQUITYRATIO"
"10"^*"16"^*""^*""^*""^*"TZ2018080147"^*""^*""^*"20180830103914"^*""^*""^*""^*""^*""^*"22183"^*""^*"4"^*"0"^*"0"^*""^*""^*"125000000.00000000"^*""^*""^*""^*""^*""^*"125000000.00000000"^*""^*"0"^*""^*"4"^*"1"^*"2018/8/30 18:19:16"^*"000809757"^*"2018/8/30 18:19:16"^*"000809757"^*"105083905.000000"^*""^*"stockdeliv_gq.1321344"^*""^*""^*""^*""^*"stockdeliv_gq.1321344"^*"105083905.000000"^*"0"^*""^*"1.230000"
"11"^*"17"^*""^*""^*""^*"TZ2018080147"^*""^*""^*"20180830103915"^*""^*""^*""^*""^*""^*"22183"^*""^*"4"^*"0"^*"0"^*""^*""^*"125000000.00000000"^*""^*""^*""^*""^*""^*"125000000.00000000"^*""^*"0"^*""^*"4"^*"1"^*"2018/8/30 18:20:17"^*"000809757"^*"2018/8/30 18:20:17"^*"000809757"^*"46150998.000000"^*""^*"stockdeliv_gq.1321397"^*""^*""^*""^*""^*"stockdeliv_gq.1321397"^*"46150998.000000"^*"0"^*""^*"1.610000"
"12"^*"19"^*""^*"2017/12/21"^*"2017/12/21"^*"TZ2018080141"^*""^*""^*"20180830103918"^*""^*"1"^*"GYTZ180828100109"^*"d2538fd86585b69e01658e8e90f20163"^*"156"^*"22151"^*""^*""^*"-1"^*""^*""^*""^*"137085714.28000000"^*""^*""^*""^*""^*""^*"137085714.28000000"^*""^*"0"^*""^*"4"^*""^*"2018/8/31 14:38:19"^*"000859600"^*""^*""^*""^*""^*"substruct20180831143819"^*""^*""^*""^*""^*"substruct20180831143819"^*""^*"0"^*""^*""
"13"^*"20"^*""^*"2017/12/21"^*"2017/12/21"^*"TZ2018080141"^*""^*""^*"20180830103916"^*""^*"1"^*"GYTZ180828100106"^*"d2538fd865804e980165807aeb100013"^*"156"^*"22151"^*""^*""^*"-1"^*""^*""^*""^*"150902857.13999999"^*""^*""^*""^*""^*""^*"150902857.13999999"^*""^*"0"^*""^*"4"^*""^*"2018/8/31 14:38:59"^*"000859600"^*""^*""^*""^*""^*"substruct20180831124229"^*""^*""^*""^*""^*"substruct20180831124229"^*""^*"0"^*""^*""
"14"^*"21"^*""^*"2017/12/21"^*"2017/12/21"^*"TZ2018080141"^*""^*""^*"20180830103917"^*""^*"1"^*"GYTZ180828100108"^*"d2538fd86585b69e01658e8c9caa0160"^*"156"^*"22151"^*""^*""^*"-1"^*""^*""^*""^*"102285714.29000001"^*""^*""^*""^*""^*""^*"102285714.29000001"^*""^*"0"^*""^*"4"^*""^*"2018/8/31 14:39:33"^*"000859600"^*""^*""^*""^*""^*"substruct20180831142128"^*""^*""^*""^*""^*"substruct20180831142128"^*""^*"0"^*""^*""
"15"^*"22"^*""^*""^*""^*"TZ2018080141"^*""^*""^*"20180831103919"^*""^*""^*""^*""^*""^*"22183"^*""^*"4"^*"0"^*"0"^*""^*""^*"9725714.29000000"^*""^*""^*""^*""^*""^*"9725714.29000000"^*""^*"0"^*""^*"4"^*"1"^*"2018/8/31 14:44:01"^*"000859600"^*"2018/8/31 14:44:01"^*"000859600"^*"1638422.000000"^*""^*"stockdeliv_gq.1321604"^*""^*""^*""^*""^*"stockdeliv_gq.1321604"^*"1638422.000000"^*"0"^*""^*"0.140000"
"16"^*"23"^*""^*""^*""^*"TZ2018080141"^*""^*""^*"20180830103918"^*""^*""^*""^*""^*""^*"22183"^*""^*"4"^*"0"^*"0"^*""^*""^*"137085714.28000000"^*""^*""^*""^*""^*""^*"137085714.28000000"^*""^*"0"^*""^*"4"^*"1"^*"2018/8/31 14:45:52"^*"000859600"^*"2018/8/31 14:45:52"^*"000859600"^*"23068190.000000"^*""^*"stockdeliv_gq.1321657"^*""^*""^*""^*""^*"stockdeliv_gq.1321657"^*"23068190.000000"^*"0"^*""^*"2.110000"
"17"^*"24"^*""^*""^*""^*"TZ2018080141"^*""^*""^*"20180830103917"^*""^*""^*""^*""^*""^*"22183"^*""^*"4"^*"0"^*"0"^*""^*""^*"102285714.29000001"^*""^*""^*""^*""^*""^*"102285714.29000001"^*""^*"0"^*""^*"4"^*"1"^*"2018/8/31 14:47:17"^*"000859600"^*"2018/8/31 14:47:17"^*"000859600"^*"17086430.000000"^*""^*"stockdeliv_gq.1321710"^*""^*""^*""^*""^*"stockdeliv_gq.1321710"^*"17086430.000000"^*"0"^*""^*"1.760000"
"18"^*"25"^*""^*""^*""^*"TZ2018080141"^*""^*""^*"20180830103916"^*""^*""^*""^*""^*""^*"22183"^*""^*"4"^*"0"^*"0"^*""^*""^*"150902857.13999999"^*""^*""^*""^*""^*""^*"150902857.13999999"^*""^*"0"^*""^*"4"^*"1"^*"2018/8/31 14:48:16"^*"000859600"^*"2018/8/31 14:48:16"^*"000859600"^*"25394398.000000"^*""^*"stockdeliv_gq.1321763"^*""^*""^*""^*""^*"stockdeliv_gq.1321763"^*"25394398.000000"^*"0"^*""^*"1.470000"
"19"^*"26"^*""^*"2018/12/14"^*"2017/12/14"^*"TZ2018080153"^*""^*""^*"20180831103924"^*""^*"2"^*"GYTZ180822100070"^*"d2538fd86585b69e016589b119880059"^*"156"^*"22151"^*""^*""^*"-1"^*""^*""^*""^*"1000000000.00000000"^*""^*""^*""^*""^*""^*"1000000000.00000000"^*""^*"0"^*""^*"4"^*""^*"2018/8/31 15:27:45"^*"888801399"^*""^*""^*""^*""^*"substruct20180831151134"^*""^*""^*""^*""^*"substruct20180831151134"^*""^*"0"^*""^*""
